Distance Metric,Experiment Type,M,Ef Construct,Limit,Ef Search,Avg Latency,Throughput (QPS),Recall,Indexing Time
l2-squared,hnsw,64,64,10,128,0.017885158896446228,55.91227932555296,0.98412,1285.9127292633057
l2-squared,hnsw,64,64,10,256,0.013113994097709655,76.25441894736318,0.99497,1286.5738308429718
l2-squared,hnsw,64,64,10,512,0.015426613473892212,64.82304114849227,0.9985,1304.46409201622
l2-squared,hnsw,64,64,100,128,0.012856062507629395,77.78431377465323,0.936196,1296.804693698883
l2-squared,hnsw,64,64,100,256,0.014762722182273865,67.73818457416589,0.980636,1285.0949676036835
l2-squared,hnsw,64,64,100,512,0.018184414052963258,54.99214861075186,0.984922,1263.7314059734344
l2-squared,hnsw,64,128,1,128,0.01088349220752716,91.88227279736438,0.989,1727.1000037193298
l2-squared,hnsw,64,128,1,256,0.012629956126213074,79.17683877971133,0.9918,1742.5108621120453
l2-squared,hnsw,64,128,1,512,0.01568491532802582,63.755524278361854,0.9916,1731.6808807849884
l2-squared,hnsw,64,128,10,128,0.010887509036064148,91.84837382798642,0.99326,1734.1700329780579
l2-squared,hnsw,64,128,10,256,0.01294908549785614,77.22553072690428,0.99801,1738.939684867859
l2-squared,hnsw,64,128,10,512,0.039075803756713864,25.591284218387536,0.99913,1708.0136110782623
l2-squared,hnsw,64,128,100,128,0.01325104718208313,75.46573385929149,0.968327,1759.8678660392761
l2-squared,hnsw,64,128,100,256,0.014955945491790771,66.86304122657401,0.992151,1750.4464240074158
l2-squared,hnsw,64,128,100,512,0.018939747714996336,52.79901374864715,0.998379,1728.7462811470032
l2-squared,hnsw,64,512,1,128,0.015227653765678405,65.66999850324277,0.9923,4376.405547380447
l2-squared,hnsw,64,512,1,256,0.017020097279548646,58.75407076560017,0.9926,4366.751558303833
l2-squared,hnsw,64,512,1,512,0.02235108218193054,44.74056297857639,0.9917,4410.149263620377
l2-squared,hnsw,64,512,10,128,0.012304812908172607,81.2690129840024,0.99776,4499.293661117554
l2-squared,hnsw,64,512,10,256,0.046147902464866636,21.669457257809732,0.99924,4453.524226665497
l2-squared,hnsw,64,512,10,512,0.030080148696899414,33.24451651075373,0.99924,4456.1846516132355
l2-squared,hnsw,64,512,100,128,0.030746881437301636,32.52362364095943,0.986746,4403.2434067726135
l2-squared,hnsw,64,512,100,256,0.03681482501029968,27.162970344697552,0.997951,4313.055026054382
l2-squared,hnsw,64,512,100,512,0.03084840052127838,32.41659156072703,0.999669,4295.974152088165
l2-squared,flat,8,64,1,128,0.4931487847328186,2.0277855912020275,0.9928,857.7532112598419
l2-squared,flat,8,64,1,256,0.4962186678886414,2.0152405878942354,0.9928,832.6185705661774
l2-squared,flat,8,64,1,512,0.4987710069656372,2.00492808530247,0.9928,817.0914814472198
l2-squared,flat,8,64,10,128,0.5028607963085174,1.9886219155300295,0.99928,828.1798856258392
l2-squared,flat,8,64,10,256,0.4912317677974701,2.0356989623934294,0.99918,845.4467916488647
l2-squared,flat,8,64,10,512,0.4901376319646835,2.040243259819834,0.9993,815.1975548267365
l2-squared,flat,8,64,100,128,0.496817702627182,2.012810724561504,0.999881,807.8547964096069
l2-squared,flat,8,64,100,256,0.49851585690975186,2.0059542462679048,0.99989,833.4687120914459
l2-squared,flat,8,64,100,512,0.47394092321395875,2.1099676162561596,0.999894,818.3758959770203
l2-squared,flat,8,128,1,128,0.49758406989574433,2.0097106408762717,0.9928,825.2989976406097
l2-squared,flat,8,128,1,256,0.5208246352910996,1.9200320649983837,0.9928,851.8961160182953
l2-squared,flat,8,128,1,512,0.473075466132164,2.1138276482099965,0.9928,828.3965172767639
l2-squared,flat,8,128,10,128,0.49727481195926665,2.0109604909607066,0.99935,828.4809532165527
l2-squared,flat,8,128,10,256,0.5141665338039398,1.944895154108409,0.99917,828.9307744503021
l2-squared,flat,8,128,10,512,0.4923464156150818,2.0310902411073988,0.99928,801.3603639602661
l2-squared,flat,8,128,100,128,0.5257193356752395,1.9021556411190188,0.999875,812.1492803096771
l2-squared,flat,8,128,100,256,0.5294401252508163,1.8887877066859282,0.99988,839.7978329658508
l2-squared,flat,8,128,100,512,0.525924281001091,1.9014143977085658,0.999888,816.9145452976227
l2-squared,flat,8,512,1,128,0.5040475409030915,1.9839398446589402,0.9928,826.6400721073151
l2-squared,flat,8,512,1,256,0.49987754018306735,2.0004899592683754,0.9928,832.9190859794617
l2-squared,flat,8,512,1,512,0.4986180063724518,2.005543296109992,0.9928,808.6019456386566
l2-squared,flat,8,512,10,128,0.5168603355646133,1.9347586401800585,0.99931,815.2771441936493
l2-squared,flat,8,512,10,256,0.5165036814928055,1.9360946220359696,0.99925,821.7389104366302
l2-squared,flat,8,512,10,512,0.49277465574741364,2.029325145554117,0.9993,823.664347410202
l2-squared,flat,8,512,100,128,0.5035414544343948,1.9859338117916319,0.99989,811.2137639522552
l2-squared,flat,8,512,100,256,0.5020752965688705,1.991733126154372,0.999905,825.3160970211029
l2-squared,flat,8,512,100,512,0.5283745018482209,1.8925970055369115,0.999889,832.0588793754578
l2-squared,flat,16,64,1,128,0.5172016363143921,1.9334818952353983,0.9928,830.6614489555359
l2-squared,flat,16,64,1,256,0.5214290055036545,1.917806622656306,0.9928,834.8451535701752
l2-squared,flat,16,64,1,512,0.48922724826335906,2.0440398680771836,0.9928,827.4933383464813
l2-squared,flat,16,64,10,128,0.48545888214111327,2.0599066919725653,0.99928,813.0974414348602
l2-squared,flat,16,64,10,256,0.493778445315361,2.0251997823868777,0.99928,815.2791130542755
l2-squared,flat,16,64,10,512,0.5227621417760849,1.9129158752822057,0.99924,835.947051525116
l2-squared,flat,16,64,100,128,0.5051893499612808,1.9794558220133558,0.999878,809.1152911186218
l2-squared,flat,16,64,100,256,0.5335700524330139,1.874168153628793,0.999892,838.7354531288147
l2-squared,flat,16,64,100,512,0.5131517417192459,1.948741315092558,0.999893,823.7548260688782
l2-squared,flat,16,128,1,128,0.5242430057048798,1.9075123351534908,0.9928,841.9491722583771
l2-squared,flat,16,128,1,256,0.5134637052536011,1.9475573244385354,0.9928,823.0189085006714
l2-squared,flat,16,128,1,512,0.49109950985908507,2.036247196188279,0.9928,835.1696650981903
l2-squared,flat,16,128,10,128,0.49466662123203275,2.021563527996628,0.99924,822.6532776355743
l2-squared,flat,16,128,10,256,0.5198669641733169,1.9235690453810272,0.9993,811.0654644966125
l2-squared,flat,16,128,10,512,0.49221952455043794,2.0316138432609647,0.99927,831.7549753189087
l2-squared,flat,16,128,100,128,0.5026198835372925,1.989575089951259,0.999885,817.7054872512817
l2-squared,flat,16,128,100,256,0.5364882316827774,1.863973785339796,0.99989,831.2577047348022
l2-squared,flat,16,128,100,512,0.5364829383373261,1.8639921767115488,0.999891,820.0292959213257
l2-squared,flat,16,512,1,128,0.5053032534360886,1.9790096208562833,0.9928,851.8394069671631
l2-squared,flat,16,512,1,256,0.4992409394979477,2.0030408583992156,0.9928,817.0816388130188
l2-squared,flat,16,512,1,512,0.47807820420265196,2.091707990887849,0.9928,816.177356004715
l2-squared,flat,16,512,10,128,0.48358245153427126,2.0678996866558763,0.99926,808.1105904579163
l2-squared,flat,16,512,10,256,0.4829766243696213,2.0704935799019157,0.99923,831.0683979988098
l2-squared,flat,16,512,10,512,0.4840154669046402,2.066049678939326,0.9993,806.1849565505981
l2-squared,flat,16,512,100,128,0.517591181063652,1.932026735743441,0.999885,801.7500972747803
l2-squared,flat,16,512,100,256,0.49412542695999145,2.023777659353216,0.999894,796.8263816833496
l2-squared,flat,16,512,100,512,0.4646713721752167,2.1520585512268733,0.999904,825.0251796245575
l2-squared,flat,64,64,1,128,0.49226587047576903,2.031422570558288,0.9928,824.5796318054199
l2-squared,flat,64,64,1,256,0.48810853118896486,2.048724691543781,0.9928,814.9989397525787
l2-squared,flat,64,64,1,512,0.4890817950248718,2.044647766840608,0.9928,816.3259978294373
l2-squared,flat,64,64,10,128,0.48682901241779325,2.054109296061852,0.99919,823.5904891490936
l2-squared,flat,64,64,10,256,0.4885569168567657,2.046844421799842,0.99924,824.2353372573853
l2-squared,flat,64,64,10,512,0.4948246062517166,2.0209180937362303,0.99929,811.5443205833435
l2-squared,flat,64,64,100,128,0.5002868804216385,1.9988531363389073,0.999899,821.2369394302368
l2-squared,flat,64,64,100,256,0.49795421657562255,2.0082167530920656,0.999894,819.5058026313782
l2-squared,flat,64,64,100,512,0.4921538296699524,2.031885032105955,0.999887,816.7506680488586
l2-squared,flat,64,128,1,128,0.4842329381227493,2.065121806618012,0.9928,829.099641084671
l2-squared,flat,64,128,1,256,0.48758842906951905,2.05091003063451,0.9928,797.7632122039795
l2-squared,flat,64,128,1,512,0.4866302587985992,2.0549482526401386,0.9928,811.5463449954987
l2-squared,flat,64,128,10,128,0.48904817056655886,2.0447883463943994,0.99928,820.777765750885
l2-squared,flat,64,128,10,256,0.48797156884670256,2.0492997212182917,0.99927,825.8421692848206
l2-squared,flat,64,128,10,512,0.4900421571969986,2.040640759807113,0.9993,834.0700359344482
l2-squared,flat,64,128,100,128,0.49290996074676513,2.0287680907989496,0.999887,815.5651443004608
l2-squared,flat,64,128,100,256,0.4536220465183258,2.204478392695583,0.999899,823.6528894901276
l2-squared,flat,64,128,100,512,0.46301634936332703,2.159750949129669,0.999905,801.5286889076233
l2-squared,flat,64,512,1,128,0.4807886714696884,2.0799158951544587,0.9928,792.5293114185333
l2-squared,flat,64,512,1,256,0.4609677837371826,2.169348998519477,0.9928,791.2613935470581
l2-squared,flat,64,512,1,512,0.4554405349731445,2.195676324811462,0.9928,786.3782992362976
l2-squared,flat,64,512,10,128,0.45980154192447664,2.1748513408949206,0.99929,782.5842156410217
l2-squared,flat,64,512,10,256,0.4793508472204208,2.08615465227324,0.99925,799.8539788722992
l2-squared,flat,64,512,10,512,0.48007030987739563,2.0830282136285168,0.99922,799.5289418697357
l2-squared,flat,64,512,100,128,0.4632175251483917,2.158812967362688,0.999896,786.4723558425903
l2-squared,flat,64,512,100,256,0.46603676829338075,2.1457534427208054,0.999882,789.0910415649414
l2-squared,flat,64,512,100,512,0.4633938210964203,2.157991657363782,0.999901,794.9215412139893
dot,hnsw,8,64,1,128,0.008666035866737365,115.39301421983212,0.8157,1180.942762851715
dot,hnsw,8,64,1,256,0.009701606106758118,103.07571643249896,0.8502,1175.4882929325104
